step,gaussian_node,categorical_node,input_raw,input,index,used_
10,3,2,2,Crooks,698,TRUE
11,3,2,2,Crooks,699,TRUE
12,3,2,2,Crooks,700,TRUE
13,3,2,2,Crooks,701,TRUE
14,3,2,2,Crooks,702,TRUE
15,3,2,2,Crooks,703,TRUE
0,0,3,2,Crooks,704,TRUE
1,0,3,2,Crooks,705,TRUE
2,0,3,2,Crooks,706,TRUE
3,0,3,2,Crooks,707,TRUE
4,0,3,2,Crooks,708,TRUE
5,0,3,2,Crooks,709,TRUE
6,0,3,2,Crooks,710,TRUE
7,0,3,2,Crooks,711,TRUE
8,0,3,2,Crooks,712,TRUE
9,0,3,2,Crooks,713,TRUE
10,0,3,2,Crooks,714,TRUE
11,0,3,2,Crooks,715,TRUE
12,0,3,2,Crooks,716,TRUE
13,0,3,2,Crooks,717,TRUE
14,0,3,2,Crooks,718,TRUE
15,0,3,2,Crooks,719,TRUE
0,1,3,2,Crooks,720,TRUE
1,1,3,2,Crooks,721,TRUE
2,1,3,2,Crooks,722,TRUE
3,1,3,2,Crooks,723,TRUE
4,1,3,2,Crooks,724,TRUE
5,1,3,2,Crooks,725,TRUE
6,1,3,2,Crooks,726,TRUE
7,1,3,2,Crooks,727,TRUE
8,1,3,2,Crooks,728,TRUE
9,1,3,2,Crooks,729,TRUE
10,1,3,2,Crooks,730,TRUE
11,1,3,2,Crooks,731,TRUE
12,1,3,2,Crooks,732,TRUE
13,1,3,2,Crooks,733,TRUE
14,1,3,2,Crooks,734,TRUE
15,1,3,2,Crooks,735,TRUE
0,2,3,2,Crooks,736,TRUE
1,2,3,2,Crooks,737,TRUE
2,2,3,2,Crooks,738,TRUE
3,2,3,2,Crooks,739,TRUE
4,2,3,2,Crooks,740,TRUE
5,2,3,2,Crooks,741,TRUE
6,2,3,2,Crooks,742,TRUE
