,label,step,gaussian_node,categorical_node,input,index,metric_value,metric_name,input_raw,used_
144,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,7,0,1,MG1655,1095,80.90526,Training_PercentDifference-Mean,4,TRUE
145,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,6,0,3,W,1478,89.35966,Training_PercentDifference-Mean,5,TRUE
146,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,4,0,1,W3110,1604,87.96719,Training_PercentDifference-Mean,6,TRUE
147,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,6,2,2,BL21,166,1.731494,Validation_EuclideanDist-Mean,0,TRUE
148,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,7,2,1,C,359,1.865485,Validation_EuclideanDist-Mean,1,TRUE
149,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,14,0,3,Crooks,718,1.618103,Validation_EuclideanDist-Mean,2,TRUE
150,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,10,1,0,DH5a,794,1.898489,Validation_EuclideanDist-Mean,3,TRUE
151,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,7,0,3,MG1655,1223,1.131992,Validation_EuclideanDist-Mean,4,TRUE
152,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,1,2,0,W,1313,1.454153,Validation_EuclideanDist-Mean,5,TRUE
153,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,2,3,W3110,1762,1.866071,Validation_EuclideanDist-Mean,6,TRUE
154,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MAPE_01,2,3,3,BL21,242,11.960401,Validation_ManhattanDist-Mean,0,TRUE
